severity	check	path	line	message	suggestion	snippet
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	155	Wiki link uses a full path	[[Fausto]]	We begin as the party teleports to the [[Temple of the Eight Divines]] in [[Drankor]], where [[People/Chardonians/Fausto|Fausto]] and his a...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	155	Wiki link uses a full path	[[Fausto]]	We begin as the party teleports to the [[Temple of the Eight Divines]] in [[Drankor]], where [[People/Chardonians/Fausto|Fausto]] and his a...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	155	Wiki link uses a full path	[[Fausto]]	We begin as the party teleports to the [[Temple of the Eight Divines]] in [[Drankor]], where [[People/Chardonians/Fausto|Fausto]] and his a...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	157	Wiki link uses a full path	[[Fausto]]	Fausto counters with a spell, eluding [[Seeker]]’s _Counterspell_ and taking control of the battlefield. [[Seeker]] falls victim to [[Peopl...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	157	Wiki link uses a full path	[[Fausto]]	Fausto counters with a spell, eluding [[Seeker]]’s _Counterspell_ and taking control of the battlefield. [[Seeker]] falls victim to [[Peopl...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	157	Wiki link uses a full path	[[Fausto]]	Fausto counters with a spell, eluding [[Seeker]]’s _Counterspell_ and taking control of the battlefield. [[Seeker]] falls victim to [[Peopl...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	161	Wiki link uses a full path	[[Fausto]]	Fausto laughs grimly as Kenzo’s relentless attacks, which should kill him, only sever one of the gray magical tendrils extending from the [...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	161	Wiki link uses a full path	[[Fausto]]	Fausto laughs grimly as Kenzo’s relentless attacks, which should kill him, only sever one of the gray magical tendrils extending from the [...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	165	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] casts _Sleep_, successfully incapacitating [[People/Chardonians/Fausto|Fausto]] temporarily. Howev...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	165	Wiki link uses a full path	[[Fausto]]	[[People/PCs/Dunmar Fellowship/Delwath]] casts _Sleep_, successfully incapacitating [[People/Chardonians/Fausto|Fausto]] temporarily. Howev...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 117 (DuFr).md	72	Wiki link uses a full path	[[Tanshi]]	[[Kenzo]], relentless, delivers a series of unarmed strikes that further weaken [[Apollyon]]. [[Delwath]] lands the killing blow, channelin...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 119 (DuFr).md	57	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] explains their supposed mission to bring news of [[Lirien]]'s death to [[Everlight's Bloom]]. The ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 12 (DuFr).md	29	Wiki link uses a full path	[[Raven's Hold|fort]]	- Post-battle, the party finds starving animals in the stables and signs of previous hobgoblin occupation in the [[Gazetteer/Greater Dunmar...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 120 (DuFr).md	48	Wiki link uses a full path	[[Wellby]]	[[People/PCs/Dunmar Fellowship/Wellby]], moving through the crowds looking for someone out of place, encounters [[Valeris]], a satyr cursed...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 120 (DuFr).md	52	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] meets [[Arendel]], a renowned but cheerful and friendly duelist who challenges him on the spot. Th...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 126 (DuFr).md	42	Wiki link uses a full path	[[Tanshi]]	The conversation turns to the current state of affairs in [[Chardon]], and what to do next. It seems incoming shipments of [[chalyte]] have...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 126 (DuFr).md	44	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] began by scrying names from [[Kenzo]]'s list of officials controlled by [[Fausto]], made when [[Ke...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 126 (DuFr).md	48	Wiki link uses a full path	[[Wellby]]	[[People/PCs/Dunmar Fellowship/Wellby]] spent the bulk of the afternoon combing the bustling docks and taverns of [[Chardon]], intent on ga...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 14 (DuFr).md	59	Wiki link uses a full path	[[Stormcaller Tower|tall white marble tower]]	Inside the storm, there is a circle of dead calm stretching several hundred feet across. In the middle of this calm area, a jagged piece of...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 15 (DuFr).md	42	Wiki link uses a full path	[[Stormcaller Tower|tower]]	Meanwhile, [[Wellby]] has been trying to speak with the [[Gazetteer/Greater Dunmar/Hara Basin/Stormcaller Tower|tower]], without much succe...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 16 (DuFr).md	36	Wiki link uses a full path	[[Stormcaller Tower|ancient tower]]	Standing in a shattered room at the top of an [[Gazetteer/Greater Dunmar/Hara Basin/Stormcaller Tower|ancient tower]], we begin with our he...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 20 (DuFr).md	44	Wiki link uses a full path	[[Festival of Rebirth]]	Over the course of the afternoon and early evening, while their student [[Amil]] brings tea, [[Pava]] and [[Avaras]] tell their story, and ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 22 (DuFr).md	34	Wiki link uses a full path	[[Monastery of Bhishma|monastery]]	- (DR:: 1748-05-11), early afternoon: Investigate [[Gazetteer/Greater Dunmar/Hara Basin/Monastery of Bhishma|monastery]]. Fight and kill a ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 24 (DuFr).md	41	Wiki link uses a full path	[[Monastery of Bhishma|monastery]]	We begin as the party leaves the tower attached to the [[Hall of Stories]] in the evening, as the long shadows begin to stretch across the ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 39 (DuFr).md	55	Wiki link uses a full path	[[Scepter of Command|scepter]]	As the party finishes interrogating the captives, the story of the past few months becomes clear. The leader of the [[Fraternity of the Emp...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 4 (DuFr).md	28	Wiki link uses a full path	[[Festival of Rebirth]]	- The party learns more about [[Arcus]], attacked herders, and the upcoming [[Gods and Religions/Holidays and Festivals/Dunmari Festivals/F...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 4 (DuFr).md	48	Wiki link uses a full path	[[Festival of Rebirth]]	After a bit more conversation with [[Ikram]] about lighter subjects, including the upcoming axebeak riding competition before the [[Gods an...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 5 (DuFr).md	30	Wiki link uses a full path	[[Festival of Rebirth]]	- [[Kenzo]] wins the staff dancing competition, and [[Wellby]] places third in the axebeak riding competition during the festivities leadin...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 52 (DuFr).md	43	Wiki link uses a full path	[[Tanshi]]	- (DR:: 1748-09-10), evening: Dinner in the village. Meet [[Belegor]]. [[Delwath]] prays to [[Yezali|Aaviskar]]. [[Theba]] prays to the [[G...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 52 (DuFr).md	44	Wiki link uses a full path	[[Tanshi]]	- (DR:: 1748-09-11): [[Theba]] proposes killing [[Mezzar|Grimbaskal]], the dragon. General agreement. War planning at the [[~Te'kula villag...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 52 (DuFr).md	45	Wiki link uses a full path	[[Tanshi]]	- (DR:: 1748-09-12): Leave the village for the dragon's lair, guided by [[Theba]] and the [[Gods and Religions/Gods/Tanshi/Tanshi]]. Travel...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 52 (DuFr).md	83	Wiki link uses a full path	[[Tanshi]]	That night, [[Delwath]] prays to [[Yezali|Aaviskar]], and understands the truth of the dimension that protects the [[Te'kula]]. The tanshi ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 52 (DuFr).md	89	Wiki link uses a full path	[[Tanshi]]	War planning then commences, with [[Theba]] and the [[Gods and Religions/Gods/Tanshi/Tanshi]] offering blessings to help, and [[Obel]], an ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 52 (DuFr).md	91	Wiki link uses a full path	[[Tanshi]]	The next morning, on Sept 12th, the party leaves for [[Mezzar|Grimbaskal]]’s lair, traveling with the guidance of [[Obel]], [[Theba]], and ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 52 (DuFr).md	99	Wiki link uses a full path	[[Tanshi]]	Finally, on September 30th, the party leaves, with [[Theba]], a diplomatic mission, and the [[Elves]] [[Belegor]], to go to visit the rest ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 53 (DuFr).md	21	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] discovers that Cha'mutte's shadow armbands are key to freeing the trapped [[Meswati]] and prepares...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 54 (DuFr).md	21	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] and companions journey through the [[Forest of Nightmares]], confronting haunted battlefields and ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 54 (DuFr).md	21	Wiki link uses a full path	[[Tanshi]]	[[People/PCs/Dunmar Fellowship/Delwath]] and companions journey through the [[Forest of Nightmares]], confronting haunted battlefields and ...
